,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,ICCs,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (smooth muscle),Neuronal,Pericyte/SMC,Schwann cell
DPP10,0.0,0.0,0.0,0.0,3.786538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP15,0.0,0.0,0.0,0.0,0.0,3.1536555,0.0,2.665732,3.1230493,2.3519182,0.0,0.0,0.0,0.0
ZEB2,0.0,0.0,0.0,0.0,0.0,0.0,2.889145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMNL2,1.597702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANC1,0.0,0.0,2.0529914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCN9A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6466103,0.0,0.0
SCN7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1329641
MAP3K20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6358733,0.0,0.0,0.0
PDE1A,0.0,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCRL,1.1503698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,0.0,2.775641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1409545,2.6833253,0.0,0.0,0.0,0.0,0.0
ANKRD44,0.0,0.0,0.0,0.0,2.7439952,3.1688046,0.0,2.8459766,2.9548354,2.4700055,0.0,0.0,0.0,0.0
CFLAR,1.7208471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMPR2,1.2108295,0.0,2.6131697,0.0,2.6763394,0.0,0.0,0.0,0.0,0.0,0.0,1.5152847,0.0,0.0
PARD3B,2.1046963,0.0,0.0,0.0,2.3897533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3924584,0.0,0.0
ERBB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9341065,0.0,0.0
FN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8822446,0.0,0.0,0.0
TNS1,1.8338006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4495149,0.0,0.0,0.0
DOCK10,0.0,0.0,0.0,0.0,0.0,2.8438175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGFG1,0.0,0.0,0.0,0.0,0.0,0.0,1.8831584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC19A3,2.1610782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PID1,0.0,0.0,0.0,2.6915927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SP100,0.0,0.0,0.0,0.0,0.0,3.010868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5721103,0.0,0.0,0.0
AGAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,0.0,0.0
CHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9518123
ATG7,0.0,0.0,0.0,0.0,0.0,0.0,2.3710604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPARG,2.83359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D5,1.6675608,0.0,0.0,0.0,0.0,2.7444491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF385D,0.0,0.0,2.6166987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBE2E2,2.4196925,0.0,0.0,0.0,0.0,3.010868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THRB,1.5542091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBMS3,2.9423194,2.6026897,2.879576,3.331867,2.8822238,0.0,0.0,0.0,0.0,0.0,0.0,2.8377426,3.2104666,2.6675632
TGFBR2,0.0,2.1187396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLASP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3684144,0.0,0.0
MAP4,1.0649794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,1.6599302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOCK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,0.0
ERC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2015028,0.0,0.0
SLMAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926451,0.0,0.0,0.0
FHIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.960883,0.0,0.0
PTPRG,3.5948644,0.0,3.0696275,3.5442421,3.1345382,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,3.3491826,0.0
CADPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6299081,0.0,0.0
ADAMTS9,0.0,2.8302066,2.5316377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI1,1.9274538,3.2169578,3.1274707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRMD4B,0.0,2.2065227,0.0,0.0,0.0,0.0,3.1025217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXP1,1.9713649,2.9801917,2.6656942,0.0,3.2677622,2.9436815,2.8689322,2.4502406,2.664525,3.1147823,2.9373426,0.0,0.0,0.0
PDZRN3,2.1021698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2890182,0.0,0.0,0.0
GBE1,2.0293825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9804629,0.0,3.4503388
FILIP1L,1.8897898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
CBLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9992557,3.0904229,0.0,0.0,0.0,0.0,0.0
ZBTB20,2.3083653,2.7992365,2.68298,2.862814,3.0531344,2.8438175,0.0,0.0,2.5478854,3.0794706,2.0946388,0.0,2.6703749,3.085096
MYLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0905898,0.0,0.0,0.0
KALRN,0.0,2.7805936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMCC1,1.3979567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPNE4,1.6891749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAG1,1.8285189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC9A9,0.0,0.0,0.0,0.0,0.0,0.0,2.4237466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBNL1,1.9777756,1.9750978,2.2025757,0.0,2.5697627,3.0755208,2.611999,3.1063428,3.1220112,0.0,2.263401,0.0,2.3277655,0.0
KCNAB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1243253,0.0
CCNL1,1.8001418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MECOM,0.0,0.0,2.9201388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNIK,0.0,0.0,0.0,0.0,2.2199435,0.0,0.0,0.0,0.0,2.4275053,0.0,0.0,0.0,0.0
FNDC3B,2.6369243,0.0,0.0,2.5434372,0.0,0.0,0.0,1.2180126,0.0,0.0,0.0,0.0,0.0,1.9496071
NAALADL2,0.0,0.0,0.0,0.0,1.8176379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCF2L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898882,0.0,0.0
ADIPOQ,2.6414518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL6,2.1758249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
