,Adipocytes,Arterial SMC,Arterial endothelial cells,Atria-enriched endothelial cells,Atria-enriched pericytes,Atrial cardiomyocytes,Basic SMC,CMC-like endothelial cells,CMC-like pericytes,Capillary endothelial cells,Cytoplasmic cardiomyocytes,Fibroblast-like endothelial cells,Fibroblasts,Immune-related endothelial cells,Lymphatic endothelial cells,Lymphoid,MT-high fibroblasts,Mast cells,Mesothelial cells,Myeloid,NK cells,Neuronal cells,Stromal pericytes,Venous endothelial cells,Ventricle-enriched pericytes,Ventricular cardiomyocytes
ANXA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6639795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8957273,0.0,1.0848086,0.0,0.0,0.0,0.854098,0.0,0.0,0.0
AOPEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3823324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4424425
ENSG00000226043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9313254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP2M1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86133045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB1IP,1.2842586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APBB2,1.9424895,0.0,0.0,0.0,1.3126252,0.0,1.3725779,0.0,1.8803128,0.0,0.0,1.5171807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93841845,1.9254496,0.0
APLP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0478415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APP,0.0,0.0,1.8653995,0.0,0.0,0.0,0.0,1.6352079,0.0,1.6087983,0.0,1.2572453,0.0,1.4573845,2.4071126,0.0,1.9326146,0.0,0.0,0.0,0.0,0.0,0.0,1.7382386,0.0,0.0
APRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85081804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4680059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQP7,1.9831147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0708373
ARAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7307941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AREG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1504109,0.0,0.0,0.0,0.0,0.0
ARF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.397842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1793478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7116472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGLU1,0.0,0.0,1.6884553,2.0622213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4866643,0.0,0.0,1.4023312,0.0,0.8287654,0.0,1.5673623,0.0,0.0,0.0,0.0,1.3816345,0.0,0.0
ARHGAP10,0.0,1.3101491,0.0,0.0,2.0095484,0.0,1.6855845,0.0,2.172371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.147602,1.3147297
