,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
COX5B,0.0,0.609111213684082,0.0,0.6,0.7674082756042481,0.0
RPL31,0.0,0.6,0.7122865438461303,0.6608777284622193,0.0,0.0
RNF149,0.0,0.0,0.0,1.0,0.0,0.0
LIMS1,0.0,0.0,0.0,1.0,0.0,0.0
IL1B,0.0,0.0,0.0,1.0,0.0,0.0
ACTR3,0.0,0.0,0.8,0.8025775909423828,0.0,0.0
DBI,0.0,0.6708603858947754,0.6640933394432068,0.6,0.0,0.0
MZT2B,0.0,1.0,0.0,0.0,0.0,0.0
UBXN4,0.0,1.0,0.0,0.0,0.0,0.0
CXCR4,0.0,0.0,0.9408134460449219,0.8,0.0,0.0
KYNU,0.0,0.0,0.0,1.0,0.0,0.0
ZEB2,0.0,0.0,0.0,1.0,0.0,0.0
PRPF40A,0.0,0.0,0.0,1.0,0.0,0.0
NR4A2,0.0,0.0,0.8,0.809152340888977,0.0,0.0
CYTIP,0.0,0.0,0.8709535956382751,0.8,0.0,0.0
CD302,0.0,0.0,0.0,1.0,0.0,0.0
RBMS1,0.0,1.0,0.0,0.0,0.0,0.0
TANK,0.0,0.0,0.0,1.0,0.0,0.0
GCA,0.0,0.0,0.0,1.0,0.0,0.0
SCN7A,0.0,1.0,0.0,0.0,0.0,0.0
SSB,0.0,1.0,0.0,0.0,0.0,0.0
CYBRD1,0.0,1.0,0.0,0.0,0.0,0.0
MAP3K20,0.0,0.0,0.0,0.0,1.0,0.0
ATP5MC3,0.0,0.6177765607833863,0.0,0.6,0.7417433261871338,0.0
HNRNPA3,0.0,0.45480945110321047,0.5653294682502746,0.4951999306678772,0.4,0.0
NFE2L2,0.0,0.8,0.0,0.831030547618866,0.0,0.0
TFPI,0.0,1.0,0.0,0.0,0.0,0.0
COL3A1,0.0,1.0,0.0,0.0,0.0,0.0
GLS,0.0,0.0,0.0,1.0,0.0,0.0
NABP1,0.0,0.0,0.0,1.0,0.0,0.0
CAVIN2,1.0,0.0,0.0,0.0,0.0,0.0
STK17B,0.0,0.0,0.0,1.0,0.0,0.0
SF3B1,0.0,0.8,0.0,0.845987069606781,0.0,0.0
HSPD1,0.0,0.0,0.0,1.0,0.0,0.0
HSPE1,0.0,0.0,0.8372057914733887,0.8,0.0,0.0
BZW1,0.0,0.6328156352043152,0.7088454127311706,0.6,0.0,0.0
CLK1,0.0,0.0,0.0,1.0,0.0,0.0
CFLAR,0.0,0.0,0.0,1.0,0.0,0.0
EEF1B2,0.0,0.4303175568580627,0.6242150783538818,0.5657140731811523,0.4,0.0
FN1,0.0,1.0,0.0,0.0,0.0,0.0
XRCC5,0.0,0.0,0.0,1.0,0.0,0.0
RPL37A,0.2134844422340393,0.2,0.31774131059646604,0.2688554525375366,0.2354675054550171,0.0
