,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
SEPTIN2,0.0,1.0581769,0.0,0.67089,0.0,0.0
ARPC4,0.0,0.0,0.0,1.0032446,0.0,0.0
BRK1,0.0,1.0145375,0.0,0.8993674,0.0,0.0
RPL32,2.8417625,2.7101684,3.53208,3.2687342,2.7273638,2.3140993
FBLN2,0.0,2.8300567,0.0,0.0,0.0,0.0
RPL15,2.4809742,2.5923355,3.0949404,3.0160255,2.6877544,0.0
RBMS3,0.0,0.96992,0.0,0.0,0.0,0.0
CMTM6,0.0,0.0,0.0,1.1793486,0.0,0.0
CSRNP1,0.0,0.0,0.0,0.7174008,0.0,0.0
RPSA,1.7853302,1.9722519,2.8646321,2.0681748,1.7231116,0.0
EIF1B,0.0,0.0,0.0,0.8498025,0.0,0.0
RPL14,2.0552483,2.196514,2.955688,2.5025234,2.395561,0.0
CTNNB1,0.0,0.0,0.0,0.7056526,0.0,0.0
NKTR,1.1950182,0.0,0.0,0.0,0.0,0.0
ABHD5,0.0,0.0,0.0,0.68793863,0.0,0.0
TMA7,0.0,1.370602,1.8852731,1.3668151,1.0329353,0.0
RHOA,1.6272738,1.8742176,1.5217818,1.9286464,1.5727137,0.0
GNAI2,1.7569991,0.99802387,1.450639,1.8903763,0.0,0.0
HYAL2,0.974982,0.0,0.0,0.0,0.0,0.0
RPL29,2.4467468,2.3447819,2.9788618,2.8358374,2.4360251,0.0
SPCS1,0.0,0.9802047,0.0,0.7254969,0.8384817,0.0
MUSTN1,0.0,0.0,0.0,0.0,2.3034856,0.0
TKT,0.0,0.0,0.0,1.3368979,0.0,0.0
SELENOK,0.0,0.0,1.6239954,1.2208059,0.0,0.0
ARF4,0.0,1.0471275,0.0,0.49360624,0.0,0.0
ARL6IP5,0.0,1.7838864,1.476027,1.1047835,0.0,0.0
FOXP1,0.0,0.0,0.0,0.7884464,0.0,0.0
COL8A1,0.0,1.4053426,0.0,0.0,0.0,0.0
FILIP1L,0.0,0.0,0.0,0.0,1.1011521,0.0
ABI3BP,0.0,1.2200049,0.0,0.0,0.0,0.0
RPL24,2.322456,2.3661454,2.7292583,2.4296384,2.3536403,0.0
NFKBIZ,0.0,0.0,0.0,1.5270746,0.0,0.0
CD47,0.0,0.0,1.2692546,0.641816,0.0,0.0
ATG3,0.0,0.0,0.0,0.79143715,0.0,0.0
CCDC80,0.0,3.2176478,0.0,0.0,0.0,0.0
ZBTB20,0.0,1.2444329,0.0,0.0,0.0,0.0
FSTL1,0.0,2.1304195,0.0,0.0,0.0,0.0
NDUFB4,0.0,0.66356814,0.0,0.0,0.0,0.0
HCLS1,0.0,0.0,0.0,1.1210384,0.0,0.0
CD86,0.0,0.0,0.0,0.65894324,0.0,0.0
RAB7A,0.0,0.0,0.0,0.82295585,0.0,0.0
CNBP,0.0,1.5013094,1.2119887,1.0082486,1.6052909,0.0
CDV3,0.0,0.0,0.0,0.73533916,0.0,0.0
ATP1B3,0.0,0.0,1.1590011,1.4641671,0.0,0.0
PCOLCE2,0.0,3.1300447,0.0,0.0,0.0,0.0
TM4SF1,2.815324,1.0156595,0.0,0.0,0.0,0.0
RNF13,0.0,0.0,0.0,0.8305508,0.0,0.0
SERP1,0.0,0.0,1.1774794,1.5691552,0.0,0.0
MBNL1,0.0,0.689171,0.0,1.1258705,0.0,0.0
SSR3,0.0,0.0,0.0,0.5722222,0.0,0.0
CCNL1,0.0,0.0,0.0,1.0159128,0.0,0.0
MFSD1,0.0,0.0,0.0,0.72986794,0.0,0.0
GOLIM4,0.0,1.2437298,0.0,0.0,0.0,0.0
SEC62,1.3033214,1.6332155,0.0,0.79676855,0.9106284,0.0
SKIL,0.0,0.0,0.0,0.7374115,0.0,0.0
AP2M1,0.0,0.0,0.0,0.68008316,0.0,0.0
TRA2B,0.0,0.0,0.0,1.0764683,0.0,0.0
EIF4A2,0.0,1.3715891,1.1519958,0.98328376,1.4387525,0.0
LPP,0.0,0.0,0.0,0.0,1.1397064,0.0
ACAP2,0.0,0.0,0.0,0.4966792,0.0,0.0
APOD,0.0,1.3720832,0.0,0.0,0.0,0.0
PAK2,0.0,0.0,0.0,0.8035878,0.0,0.0
RPL35A,2.5757713,2.5926213,3.0779874,2.7368996,2.633719,0.0
ATP5ME,0.0,1.0075301,0.0,0.9321182,1.1930937,0.0
LRPAP1,0.0,0.9247127,0.0,0.0,0.0,0.0
MRFAP1,0.0,0.9664759,0.0,0.0,0.0,0.0
HTRA3,0.0,1.8594266,0.0,0.0,0.0,0.0
WDR1,0.0,0.0,0.0,0.56707174,0.0,0.0
FGFBP2,0.0,0.0,1.3004478,0.0,0.0,0.0
SOD3,0.0,1.4093032,0.0,0.0,1.8107594,0.0
RBPJ,0.0,0.0,0.0,0.91198593,0.0,0.0
RPL9,2.6787229,2.6621745,3.124919,2.9190147,2.788433,2.2033205
SMIM14,0.0,0.858657,0.0,0.0,0.0,0.0
SHISA3,0.0,1.0314229,0.0,0.0,0.0,0.0
OCIAD1,0.0,0.900102,0.0,0.0,0.0,0.0
PDGFRA,0.0,0.7734053,0.0,0.0,0.0,0.0
HOPX,0.0,0.0,1.2817144,0.0,0.0,0.0
IGFBP7,0.0,3.793041,0.0,0.0,4.35918,0.0
CXCL8,0.0,0.0,0.0,2.955252,0.0,3.82404
CXCL3,0.0,0.0,0.0,1.5696943,0.0,0.0
CXCL2,0.0,0.0,0.0,1.9329937,0.0,0.0
CCNI,0.0,2.114244,1.3533227,1.7729813,1.9120598,1.9208254
HNRNPD,0.0,0.0,0.0,0.79203296,0.0,0.0
HNRNPDL,0.0,1.1818492,1.3518345,1.1138067,1.2096728,0.0
HSD17B11,0.0,0.0,0.0,0.65323323,0.0,0.0
SPARCL1,3.5788717,3.637016,0.0,0.0,3.8640149,0.0
ADH1B,0.0,1.6374563,0.0,0.0,0.0,0.0
H2AZ1,0.0,0.0,1.967121,1.7383224,0.8900292,0.0
EMCN,2.2261858,0.0,0.0,0.0,0.0,0.0
NFKB1,0.0,0.0,0.0,0.7787235,0.0,0.0
UBE2D3,0.0,1.0085248,1.3638463,1.4929177,0.0,1.8735447
TET2,0.0,0.0,0.0,0.69065666,0.0,0.0
RPL34,3.0736012,3.0102565,3.7695386,3.5372155,2.9012516,3.0925949
OSTC,0.0,0.9503234,0.0,0.0,0.0,0.0
ARLN,0.0,0.84328,0.0,0.74224985,0.0,0.0
ANXA5,0.0,2.1768641,0.0,1.8005354,0.8384817,0.0
SPRY1,0.0,1.4125844,0.0,0.0,0.0,0.0
NDUFC1,0.0,0.8855422,0.0,0.0,0.0,0.0
RPS3A,2.6349702,2.7229226,3.5746486,3.3553858,2.805053,2.6376038
GUCY1A1,0.0,0.0,0.0,0.0,1.4055748,0.0
CPE,0.0,0.74511534,0.0,0.0,2.439203,0.0
PDLIM3,0.0,0.8359561,0.0,0.0,0.0,0.0
BASP1,0.0,0.0,0.0,0.88398194,0.0,2.098092
SUB1,0.0,1.0621232,1.7683967,1.2411664,0.0,0.0
FYB1,0.0,0.0,1.124746,1.1734164,0.0,0.0
RPL37,2.65528,2.5126734,3.4035203,3.0910234,2.3675466,1.820905
C7,0.0,2.2193341,0.0,0.0,0.0,0.0
SELENOP,0.0,1.6223621,0.0,0.0,0.0,0.0
GZMA,0.0,0.0,2.6225934,0.0,0.0,0.0
IL6ST,0.0,1.1542213,0.0,0.0,0.0,0.0
GPBP1,0.0,0.0,0.0,0.8966509,0.0,0.0
PIK3R1,0.0,0.9965122,0.0,0.0,0.0,0.0
MAP1B,0.0,0.9178837,0.0,0.0,1.6600164,0.0
