,ACKR1+ endothelium,B cells,CD36+ endothelium,Cycling,Doublets,Enterocytes,Enteroendocrines,Fibs,Glial cells,Goblets,ILC,Lymphatics,MNP,Mast cells,Paneth cells,Pericytes,Plasma cells,Progenitors,SM,T cells,TA
SERPING1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2552686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELENOH,0.9095639,0.0,0.0,0.0,0.0,0.0,1.5943384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980238
MPEG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1624527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0749047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3101491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A1,0.0,1.8603423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS4A8,0.0,0.0,0.0,0.0,0.0,1.1099393,1.1161695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM258,1.157353,0.0,0.0,1.3369496,0.0,0.0,0.93683666,0.0,0.0,1.4535003,0.0,0.0,0.8333729,0.0,0.0,0.0,1.0893981,1.0763657,0.0,0.0,1.3970399
FTH1,3.2882285,3.2016804,3.0694876,3.0563202,2.5397725,4.284805,3.518557,3.3688421,3.973568,3.1374562,3.168493,2.8650365,3.9559674,4.343831,1.4198232,3.5172303,1.793289,3.468449,3.352732,3.2746332,3.326245
AHNAK,1.2300228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBXN1,0.0,0.0,0.0,0.0,0.0,0.0,0.97403574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLAAT4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3859195,0.0
COX8A,0.0,0.0,0.0,1.9314787,0.0,1.8512362,2.08132,0.0,0.0,1.7045897,0.0,0.0,1.1635222,0.0,0.0,1.340063,0.0,1.8890278,0.0,0.0,2.045627
OTUB1,0.0,0.0,0.0,0.0,0.0,0.0,0.41957653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FKBP2,0.0,0.0,0.0,0.0,1.0542648,1.1089855,1.1815922,0.0,0.0,1.1677413,0.0,0.0,0.0,0.0,0.7117467,0.0,1.7296956,0.89173996,0.0,0.0,1.4422781
TRMT112,0.0,0.0,0.93064356,1.0222205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7074999
PRDX5,0.955413,0.0,0.0,0.93898714,0.0,1.3947536,2.4896545,0.0,0.0,1.2150773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7789948,0.0,0.0,1.5316527
SF1,0.0,0.0,0.0,0.62288797,0.0,0.0,0.99173933,0.0,0.0,0.0,0.0,1.3317853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAU,3.1235678,3.6524308,2.8118782,3.0794706,2.6980996,2.20786,2.6841304,2.8294566,2.4116445,2.9344497,3.1395454,2.8383842,3.182545,3.059462,1.2938427,2.864242,2.4258585,2.8670325,3.0510674,3.2338965,3.023808
NEAT1,2.982984,0.0,2.8312578,1.5175974,0.76689214,3.1437435,2.3316147,2.4265637,1.7752846,1.9234641,0.0,3.703653,2.5147595,2.1172433,1.7052884,2.1019597,1.7304597,2.194794,1.8053164,0.0,1.8583596
MALAT1,6.3372736,6.54252,6.471896,5.3813825,5.452425,6.373596,6.027428,6.6085887,6.6984167,4.1516075,6.541109,6.5764227,5.7727714,6.932818,5.517461,6.893622,5.4900465,4.9980245,6.525318,6.6779027,4.0352235
RNASEH2C,0.0,0.0,0.0,0.6174085,0.0,0.0,0.43240827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFL1,1.9576588,1.8026757,2.196519,2.9436815,1.0004637,2.659369,2.5427144,1.4483927,1.939594,2.6546078,2.110836,1.8404586,2.2689526,0.0,0.0,1.9907624,0.0,2.541617,2.1602561,2.0877988,2.7800026
CCDC85B,1.8612592,0.0,2.0649476,0.0,0.0,0.0,0.40428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BANF1,0.0,0.0,0.0,0.0,0.0,0.0,0.958614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980238
SF3B2,0.0,0.0,0.0,0.0,0.0,0.0,0.4519657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C11orf86,0.0,0.0,0.0,0.0,0.0,1.6679097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1CA,0.0,0.0,0.0,1.3369496,0.0,0.0,0.47130302,0.0,0.0,0.75848615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83915305
CORO1B,0.0,0.0,0.0,0.0,0.0,0.0,1.2778072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTP1,1.4617386,0.0,1.6205891,1.5889567,0.0,1.7103754,1.7005475,0.0,1.9309744,1.9706738,1.5789788,0.0,1.8834268,0.0,0.0,1.6107192,0.8498968,2.426921,1.827534,0.0,2.6011128
NDUFS8,0.0,0.0,0.0,0.79728746,0.0,0.0,1.0935099,0.0,0.0,0.799243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94843906,0.0,0.0,1.2584167
STARD10,0.0,0.0,0.0,0.0,0.0,0.0,1.3610096,0.0,0.0,1.6425645,0.0,0.0,0.0,0.0,0.6243209,0.0,0.0,0.0,0.0,0.0,1.3252681
PLEKHB1,0.0,0.0,0.0,0.0,0.0,0.0,0.41957653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPCS2,0.0,0.0,0.0,1.0930434,1.5803256,0.0,0.9037113,0.0,1.5095845,1.1105039,0.0,0.0,0.0,0.0,0.0,1.1856236,1.8030283,0.7403461,1.5861737,0.0,1.2584167
RPS3,3.228526,3.970161,2.9031224,3.6474676,3.0275784,2.019401,4.068566,2.644787,2.4148853,3.7032578,3.6018844,2.54426,3.210942,3.2686677,1.8981433,2.597497,2.37791,3.8650887,2.8901856,3.866683,3.9230185
RSF1,0.0,0.0,0.0,0.0,0.0,0.0,0.40428817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFC2,0.0,0.0,0.0,0.0,0.0,0.0,1.4636061,0.0,0.0,0.7116042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95794123,1.2179668,0.0,0.81533027
