,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
HPGD,0.3803892135620117,0.3113139896165757,0.3113139896165757,0.471059813385918,0.3803892135620117,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.471059813385918,0.5315590245383126,0.047619047619047616,0.20579200415384202,0.047619047619047616,0.047619047619047616,0.20579200415384202,0.20579200415384202,0.20579200415384202,0.047619047619047616,0.20579200415384202
SPCS3,0.0,0.0,0.21089727537972586,0.0,0.0,0.0,0.0,0.354887204510825,0.0,0.0,0.354887204510825,0.0,0.21089727537972586,0.354887204510825,0.0,0.21089727537972586,0.0,0.21089727537972586,0.21089727537972586,0.21089727537972586,0.0,0.21089727537972586
NEIL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
CDKN2AIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ING2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.9523809523809523,0.0,0.0
RWDD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IRF2,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
CASP3,0.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,0.0,0.5238095238095238,0.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.0,0.0
CENPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A4,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666
SORBS2,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.6327581746237618,0.6327581746237618,0.0,0.23809523809523808,0.23809523809523808,0.0,0.0,0.0,0.0,0.23809523809523808,0.23809523809523808,0.48414205937158494,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808
FAM149A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0
FAT1,0.07029909179324195,0.23683037076677596,0.14464732294990904,0.23683037076677596,0.3047961535907927,0.0,0.0,0.07029909179324195,0.14464732294990904,0.07029909179324195,0.07029909179324195,0.3047961535907927,0.3598686286381313,0.0,0.14464732294990904,0.0,0.07029909179324195,0.14464732294990904,0.14464732294990904,0.14464732294990904,0.14464732294990904,0.14464732294990904
