,B_CD27neg,B_CD27pos,Blood_vessel,Dendritic_Cells,Epi_basal,Epi_dividing,Epi_stratified,Epi_suprabasal,Epi_upper,Glands_duct,Glands_mucous,Lymph_vessel,Mast_cell,Mono_macro,NK_T_CD8_Cytotoxic,Stroma,T_CD4,T_CD8
GNAI3,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMTOR5,0.0,0.0,0.0,0.0,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0
CD53,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5PB,0.0,0.0,0.0,0.0,0.6931472,1.3862944,1.0986123,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf162,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
RAP1A,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZA1,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RHOC,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0
DENND2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSDE1,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1,0.0,0.0,0.6931472,0.0,1.0986123,1.0986123,0.6931472,0.6931472,0.0,1.0986123,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472
PHGDH,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM8A,0.0,0.0,0.6931472,0.0,0.6931472,1.0986123,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXNIP,1.0986123,1.0986123,1.3862944,0.6931472,1.609438,0.0,0.0,0.6931472,0.0,1.0986123,0.6931472,1.0986123,0.0,0.0,1.0986123,1.0986123,0.6931472,0.6931472
APH1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS21,0.0,0.0,0.0,0.0,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECM1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,3.6635616,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0
MCL1,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0
ENSA,0.0,0.0,0.0,0.0,0.6931472,1.3862944,1.3862944,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTSS,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
CTSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0
BNIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42SE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMD4,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMB4,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A10,0.0,0.0,1.609438,1.609438,1.9459102,2.944439,3.2580965,2.3025851,4.0430512,1.9459102,1.3862944,1.9459102,0.6931472,1.0986123,0.0,1.7917595,0.6931472,0.6931472
S100A11,0.0,0.0,1.3862944,1.7917595,2.3025851,3.4011974,3.912023,2.3025851,4.204693,2.7080503,2.3025851,0.6931472,0.6931472,1.609438,0.6931472,1.609438,0.6931472,0.6931472
CRNN,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,4.304065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRCT1,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,4.317488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVL,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRR3,0.6931472,0.6931472,1.609438,1.609438,1.3862944,1.7917595,3.5263605,1.609438,6.50129,1.609438,1.9459102,1.0986123,0.0,1.0986123,1.0986123,1.7917595,1.0986123,1.0986123
SPRR1B,0.0,0.0,0.0,0.0,0.0,0.6931472,1.9459102,0.0,3.3672957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRR2D,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,2.0794415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRR2A,0.0,0.0,0.0,0.0,0.0,0.6931472,1.609438,0.0,3.5263605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPRR2E,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,1.9459102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A9,1.3862944,1.609438,2.1972246,2.3025851,2.1972246,3.8501477,5.3936276,2.8332133,6.7661915,2.1972246,2.0794415,1.9459102,1.3862944,2.3978953,1.9459102,2.3025851,1.9459102,1.7917595
